title,artist,album,isrc,upc,spotify_url,local_path,filename
Frozen Tag,Excavationpro,Instrumentals,QM-42K-22-03095,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\18\Instrumentals\Frozen Tag QM42K2203095.wav,Frozen Tag QM42K2203095.wav
Emotional Support,Excavationpro,Done,QM-42K-22-04400,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\Emotional Support QM42K2204400.wav,Emotional Support QM42K2204400.wav
Lost in Love,Excavationpro,Instrumentals,QM-42K-22-32271,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\18\Instrumentals\Lost in Love QM42K2232271.wav,Lost in Love QM42K2232271.wav
Hope Instrumental,Excavationpro,instrumentals,QM-42K-22-68628,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\19\instrumentals\Hope Instrumental QM42K2268628.wav,Hope Instrumental QM42K2268628.wav
Conversation Overload,Excavationpro,instrumentals,QM-42K-22-70355,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\19\instrumentals\Conversation Overload QM42K2270355.wav,Conversation Overload QM42K2270355.wav
Internal Conflict,Excavationpro,Done,QM-42K-22-77731,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Internal Conflict QM42K2277731.wav,Internal Conflict QM42K2277731.wav
Shared My Shh Hit Ft. Justin Helmer,Excavationpro,Done,QM-42K-22-88698,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\Shared My Shh Hit Ft. Justin Helmer QM42K2288698.wav,Shared My Shh Hit Ft. Justin Helmer QM42K2288698.wav
Chill Vibes Instrumental,Excavationpro,Done,QM-42K-22-97200,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Chill Vibes Instrumental QM42K2297200.wav,Chill Vibes Instrumental QM42K2297200.wav
Support,Excavationpro,instrumental,QM-42K-23-00675,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\23\instrumental\Support QM42K2300675.wav,Support QM42K2300675.wav
Controlled and Deleted,Excavationpro,instrumental,QM-42K-23-02934,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\23\instrumental\Controlled and Deleted QM42K2302934.wav,Controlled and Deleted QM42K2302934.wav
Hypno Toad Beat Loop,Excavationpro,Done,QM-42K-23-04774,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\28\instrumentals\Done\Hypno Toad Beat Loop QM42K2304774.wav,Hypno Toad Beat Loop QM42K2304774.wav
Download Encrypted,Excavationpro,instrumentals,QM-42K-23-06110,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\19\instrumentals\Download Encrypted QM42K2306110.wav,Download Encrypted QM42K2306110.wav
Looped Patterns Instrumental,Excavationpro,Done,QM-42K-23-09170,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\instrumental\Done\Looped Patterns Instrumental QM42K2309170.wav,Looped Patterns Instrumental QM42K2309170.wav
Chaos 2023 Freestyle,Excavationpro,Done,QM-42K-23-09346,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\Chaos 2023 Freestyle QM42K2309346.wav,Chaos 2023 Freestyle QM42K2309346.wav
When I Pull Up (Mastered with Sunroof at 100pct),Excavationpro,Done,QM-42K-23-10964,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\Vocals\Done\When I Pull Up (Mastered with Sunroof at 100pct) QM42K2310964.wav,When I Pull Up (Mastered with Sunroof at 100pct) QM42K2310964.wav
Eternal,Excavationpro,Done,QM-42K-23-12577,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\instrumentals\Done\Eternal QM42K2312577.wav,Eternal QM42K2312577.wav
Lost Friend,Excavationpro,Done,QM-42K-23-19094,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\28\instrumentals\Done\Lost Friend QM42K2319094.wav,Lost Friend QM42K2319094.wav
Reversed Spirits,Excavationpro,Instrumentals,QM-42K-23-29347,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Reversed Spirits QM42K2329347.wav,Reversed Spirits QM42K2329347.wav
Moon Man,Excavationpro,Instrumentals,QM-42K-23-33738,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Moon Man QM42K2333738.wav,Moon Man QM42K2333738.wav
Wasted Time,Excavationpro,Done,QM-42K-23-35320,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\28\instrumentals\Done\Wasted Time QM42K2335320.wav,Wasted Time QM42K2335320.wav
Destroyer,Excavationpro,Done,QM-42K-23-42306,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\25\instrumental\Done\Destroyer QM42K2342306.wav,Destroyer QM42K2342306.wav
Living on the Edge Feat. Justin Helmer,Excavationpro,Done,QM-42K-23-43211,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\22\Done\Living on the Edge Feat. Justin Helmer QM42K2343211.wav,Living on the Edge Feat. Justin Helmer QM42K2343211.wav
Magic Mountain,Excavationpro,Instrumentals,QM-42K-23-46694,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Magic Mountain QM42K2346694.wav,Magic Mountain QM42K2346694.wav
The Legacy,Excavationpro,instrumental,QM-42K-23-46770,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\23\instrumental\The Legacy QM42K2346770.wav,The Legacy QM42K2346770.wav
Raw Emotions (Mastered with Thunder at 100pct),Excavationpro,Done Done,QM-42K-23-50685,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\Done Done\Raw Emotions (Mastered with Thunder at 100pct) QM42K2350685.wav,Raw Emotions (Mastered with Thunder at 100pct) QM42K2350685.wav
Walking Alone,Excavationpro,Instrumentals,QM-42K-23-53905,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Walking Alone QM42K2353905.wav,Walking Alone QM42K2353905.wav
switched sides on you hoes,Excavationpro,Done,QM-42K-23-55253,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\20\Done\switched sides on you hoes QM42K2355253.wav,switched sides on you hoes QM42K2355253.wav
Star Struck,Excavationpro,Instrumentals,QM-42K-23-58626,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Star Struck QM42K2358626.wav,Star Struck QM42K2358626.wav
Cheated On Me Bpm136,Excavationpro,Done,QM-42K-23-59345,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\Vocals\Done\Cheated On Me Bpm136 QM42K2359345.wav,Cheated On Me Bpm136 QM42K2359345.wav
See Me Coming BeatStars Beat,Excavationpro,Done,QM-42K-23-67538,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Instrumentals\Done\See Me Coming BeatStars Beat QM42K2367538.wav,See Me Coming BeatStars Beat QM42K2367538.wav
No Second Chances feat Justin Helmer (1),Excavationpro,Done,QM-42K-23-68270,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\22\Done\No Second Chances feat Justin Helmer (1) QM42K2368270.wav,No Second Chances feat Justin Helmer (1) QM42K2368270.wav
Dreaming In Color Instrumental,Excavationpro,Done,QM-42K-23-69387,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\Instrumentals\Done\Dreaming In Color Instrumental QM42K2369387.wav,Dreaming In Color Instrumental QM42K2369387.wav
Zen Chill65,Excavationpro,Done,QM-42K-23-71226,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\instrumental\Done\Zen Chill65 QM42K2371226.wav,Zen Chill65 QM42K2371226.wav
Crunked 440,Excavationpro,Done,QM-42K-23-72984,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\25\instrumental\Done\Crunked 440 QM42K2372984.wav,Crunked 440 QM42K2372984.wav
Riddler,Excavationpro,Done,QM-42K-23-74366,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\25\instrumental\Done\Riddler QM42K2374366.wav,Riddler QM42K2374366.wav
Spaced X,Excavationpro,Instrumentals,QM-42K-23-75072,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\24\Instrumentals\Spaced X QM42K2375072.wav,Spaced X QM42K2375072.wav
Lost Lover,Excavationpro,Done,QM-42K-23-80883,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\Vocals\Done\Lost Lover QM42K2380883.wav,Lost Lover QM42K2380883.wav
Dharma,Excavationpro,Done,QM-42K-23-81127,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\25\instrumental\Done\Dharma QM42K2381127.wav,Dharma QM42K2381127.wav
Blocked,Excavationpro,Done,QM-42K-23-83164,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\28\instrumentals\Done\Blocked QM42K2383164.wav,Blocked QM42K2383164.wav
Train Crash,Excavationpro,Done,QM-42K-23-83674,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\26\instrumentals\Done\Train Crash QM42K2383674.wav,Train Crash QM42K2383674.wav
Energy 808 Heat Beat,Excavationpro,Done,QM-42K-23-88134,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Instrumentals\Done\Energy 808 Heat Beat QM42K2388134.wav,Energy 808 Heat Beat QM42K2388134.wav
Hip Hop Beat Loop Expro 30,Excavationpro,Done,QM-42K-23-89922,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\21\instrumental\Done\Hip Hop Beat Loop Expro 30 QM42K2389922.wav,Hip Hop Beat Loop Expro 30 QM42K2389922.wav
chronically absent,Excavationpro,Done,QM-42K-24-00329,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\7\Done\chronically absent QM42K2400329.wav,chronically absent QM42K2400329.wav
Chillax,Excavationpro,Done,QM-42K-24-05746,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\7\Done\Chillax QM42K2405746.wav,Chillax QM42K2405746.wav
Impact,Excavationpro,Done,QM-42K-24-05951,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Impact QM42K2405951.wav,Impact QM42K2405951.wav
Bad Men Remix feat Justin Helmer Short,Excavationpro,Done,QM-42K-24-09833,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\16\Done\Bad Men Remix feat Justin Helmer Short QM42K2409833.wav,Bad Men Remix feat Justin Helmer Short QM42K2409833.wav
Social Media Player FREE DL,Excavationpro,Done,QM-42K-24-17104,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\16\Done\Social Media Player FREE DL QM42K2417104.wav,Social Media Player FREE DL QM42K2417104.wav
Volcano Instrumental Beat,Excavationpro,Instrumentals,QM-42K-24-31419,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\18\Instrumentals\Volcano Instrumental Beat QM42K2431419.wav,Volcano Instrumental Beat QM42K2431419.wav
Impossible,Excavationpro,Done,QM-42K-24-36702,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\6\Done\Impossible QM42K2436702.wav,Impossible QM42K2436702.wav
Touch,Excavationpro,Done,QM-42K-24-42401,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Touch QM42K2442401.wav,Touch QM42K2442401.wav
Master,Excavationpro,Master,QM-42K-24-47592,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\DESKTOP\HOME\Master\Master QM42K2447592.wav,Master QM42K2447592.wav
Astroglide,Excavationpro,New folder,QM-42K-24-49969,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\13\New folder\Astroglide QM42K2449969.wav,Astroglide QM42K2449969.wav
Tactics,Excavationpro,6,QM-42K-24-55957,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\6\Tactics QM42K2455957.wav,Tactics QM42K2455957.wav
Waves,Excavationpro,New folder,QM-42K-24-62295,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\13\New folder\Waves QM42K2462295.wav,Waves QM42K2462295.wav
Ride The Wave,Excavationpro,New folder,QM-42K-24-65004,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\15\New folder\Ride The Wave QM42K2465004.wav,Ride The Wave QM42K2465004.wav
Disorder,Excavationpro,8,QM-42K-24-66961,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\8\Disorder QM42K2466961.wav,Disorder QM42K2466961.wav
Prime,Excavationpro,Done,QM-42K-24-67177,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\6\Done\Prime QM42K2467177.wav,Prime QM42K2467177.wav
Booty Bounce,Excavationpro,Done,QM-42K-24-68899,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\9\Done\Booty Bounce QM42K2468899.wav,Booty Bounce QM42K2468899.wav
Energy,Excavationpro,Done,QM-42K-24-68969,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\9\Done\Energy QM42K2468969.wav,Energy QM42K2468969.wav
Reaction,Excavationpro,Done,QM-42K-24-73676,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\8\Done\Reaction QM42K2473676.wav,Reaction QM42K2473676.wav
Fight Back,Excavationpro,Done,QM-42K-24-74167,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\5\Done\Fight Back  QM42K2474167.wav,Fight Back  QM42K2474167.wav
On Your Block Open Verse,Excavationpro,Done,QM-42K-24-78966,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\15\Done\On Your Block Open Verse QM42K2478966.wav,On Your Block Open Verse QM42K2478966.wav
Worship Instrumental,Excavationpro,New folder,QM-42K-24-79605,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\14\New folder\Worship Instrumental QM42K2479605.wav,Worship Instrumental QM42K2479605.wav
New World Music,Excavationpro,Done,QM-42K-24-88279,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\12\New folder\Done\New World Music QM42K2488279.wav,New World Music QM42K2488279.wav
Load The Microphone,Excavationpro,New folder,QM-42K-24-88410,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\13\New folder\Load The Microphone QM42K2488410.wav,Load The Microphone QM42K2488410.wav
Robot Cyborg feat Justin Helmer Shawn Zuspaet,Excavationpro,4,QM-42K-25-04732,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\4\Robot Cyborg feat Justin Helmer Shawn Zuspaet QM42K2504732.wav,Robot Cyborg feat Justin Helmer Shawn Zuspaet QM42K2504732.wav
Mindbug,Excavationpro,Done,QM-42K-25-12432,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\5\Done\Mindbug  QM42K2512432.wav,Mindbug  QM42K2512432.wav
Sonic Whisper feat Justin Helmer,Excavationpro,3,QM-42K-25-17183,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\3\Sonic Whisper feat Justin Helmer QM42K2517183.wav,Sonic Whisper feat Justin Helmer QM42K2517183.wav
hd Temporary Heaven,Excavationpro,Done,QM-42K-25-28687,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\2\Done\hd_Temporary Heaven QM42K2528687.wav,hd_Temporary Heaven QM42K2528687.wav
Heartfelt Melodies feat SteelCityRed Justin Helmer,Excavationpro,5,QM-42K-25-46965,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\5\Heartfelt Melodies feat SteelCityRed Justin Helmer QM42K2546965.wav,Heartfelt Melodies feat SteelCityRed Justin Helmer QM42K2546965.wav
RobotCyborgHybrid,Excavationpro,Done,QM-42K-25-87141,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\4\Done\RobotCyborgHybrid QM42K2587141.wav,RobotCyborgHybrid QM42K2587141.wav
Bamboozle feat,Excavationpro,Done,QM-42K-25-92593,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\5\Done\Bamboozle feat QM42K2592593.wav,Bamboozle feat QM42K2592593.wav
Chaos Warrior,Excavationpro,Done,QM-42K-25-94840,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\4\Done\Chaos Warrior QM42K2594840.wav,Chaos Warrior QM42K2594840.wav
hd Digital Serenade HD feat Justin Helmer,Excavationpro,Done,QZ-K6J-25-25568,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\1\Done\hd_Digital Serenade HD feat Justin Helmer QZK6J2525568.wav,hd_Digital Serenade HD feat Justin Helmer QZK6J2525568.wav
Sunset Algorithm HD Mastered feat Justin Helmer,Excavationpro,Done,QZ-K6J-25-33001,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\1\Done\Sunset Algorithm HD Mastered feat Justin Helmer QZK6J2533001.wav,Sunset Algorithm HD Mastered feat Justin Helmer QZK6J2533001.wav
Quantum Heartbeat,Excavationpro,Done,QZ-K6J-25-54708,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\1\Done\Quantum Heartbeat QZK6J2554708.wav,Quantum Heartbeat QZK6J2554708.wav
System Lock feat Justin Helmer,Excavationpro,Done,QZ-K6K-25-14884,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\1\Done\System Lock feat Justin Helmer QZK6K2514884.wav,System Lock feat Justin Helmer QZK6K2514884.wav
hd Zero Gravity Blur,Excavationpro,Done,QZ-K6L-25-34243,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\2\Done\hd_Zero Gravity Blur QZK6L2534243.wav,hd_Zero Gravity Blur QZK6L2534243.wav
Pixel Paradise,Excavationpro,Done,QZ-K6L-25-56304,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\1\Done\Pixel Paradise QZK6L2556304.wav,Pixel Paradise QZK6L2556304.wav
Lunar Echo,Excavationpro,Done,QZ-K6L-25-58644,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\1\Done\Lunar Echo QZK6L2558644.wav,Lunar Echo QZK6L2558644.wav
hd Thunder Claps,Excavationpro,Done,QZ-K6M-25-19272,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\2\Done\hd_Thunder Claps QZK6M2519272.wav,hd_Thunder Claps QZK6M2519272.wav
Bleeding Out feat Justin Helmer,Excavationpro,2,QZ-K6M-25-75311,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\2\Bleeding Out feat Justin Helmer QZK6M2575311.wav,Bleeding Out feat Justin Helmer QZK6M2575311.wav
Brain Flipped feat Justin Helmer,Excavationpro,4,QZ-K6M-25-94364,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\4\Brain Flipped feat Justin Helmer QZK6M2594364.wav,Brain Flipped feat Justin Helmer QZK6M2594364.wav
Cooked Instrumental Beat,Excavationpro,Instrumentals,QZ-KDK-22-05700,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\18\Instrumentals\Cooked Instrumental Beat QZKDK2205700.wav,Cooked Instrumental Beat QZKDK2205700.wav
Goodbye Baby Instrumental,Excavationpro,Done,QZ-KDK-22-05985,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Goodbye Baby Instrumental QZKDK2205985.wav,Goodbye Baby Instrumental QZKDK2205985.wav
Zen Garden Sonata Instrumental Beat,Excavationpro,Instrumentals,QZ-KDK-22-20904,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\18\Instrumentals\Zen Garden Sonata Instrumental Beat QZKDK2220904.wav,Zen Garden Sonata Instrumental Beat QZKDK2220904.wav
Road Thunder,Excavationpro,Done,QZ-KDK-22-29822,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Road Thunder QZKDK2229822.wav,Road Thunder QZKDK2229822.wav
Metaverse Love Matrix Ft Daivin,Excavationpro,Vocals,QZ-KDK-22-34319,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Metaverse Love Matrix Ft Daivin QZKDK2234319.wav,Metaverse Love Matrix Ft Daivin QZKDK2234319.wav
March Madness (Mastered with Sunroof at 100pct),Excavationpro,instrumental,QZ-KDK-22-35821,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 37\instrumental\March Madness (Mastered with Sunroof at 100pct) QZKDK2235821.wav,March Madness (Mastered with Sunroof at 100pct) QZKDK2235821.wav
ENOCHS JOURNEY INSTRUMENTAL,Excavationpro,Done,QZ-KDK-22-44577,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\ENOCHS JOURNEY INSTRUMENTAL QZKDK2244577.wav,ENOCHS JOURNEY INSTRUMENTAL QZKDK2244577.wav
Chaos Theory Instrumental Loop,Excavationpro,Done,QZ-KDK-22-52235,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Chaos Theory Instrumental Loop QZKDK2252235.wav,Chaos Theory Instrumental Loop QZKDK2252235.wav
I heard you Instrumental,Excavationpro,Done,QZ-KDK-22-57914,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\I heard you Instrumental QZKDK2257914.wav,I heard you Instrumental QZKDK2257914.wav
Moody Instrumental Beat,Excavationpro,Done 2,QZ-KDK-22-65620,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\16\Instru\Done 2\Moody Instrumental Beat QZKDK2265620.wav,Moody Instrumental Beat QZKDK2265620.wav
Voices Instrumental Beat,Excavationpro,Instrumentals,QZ-KDK-22-68105,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\18\Instrumentals\Voices Instrumental Beat QZKDK2268105.wav,Voices Instrumental Beat QZKDK2268105.wav
